id,genero_inscriptor,localidad,id_provincia,provincia,region,sector,rubro,sub_rubro,tipo_de_emprendimiento,etapa_de_desarrollo_del_proyecto,monto_otorgado
156,Masculino,Resistencia,22,Chaco,Noreste,Industria manufacturera,Elaboracion de productos alimenticios n.c.p.,"Elaboracion de productos alimenticios n.c.p. (incluye la elaboracion de polvos para preparar postres y gelatinas, levadura, productos para copetin, sopas, sal de mesa, mayonesa, mostaza, etc.)",Producto,Funcional con Ingresos,244105
157,Masculino,Mercedes,6,Buenos Aires,Pampeana,Industria manufacturera,"Confeccion de prendas de vestir, excepto prendas de piel","Confeccion de prendas de vestir n.c.p., excepto prendas de piel, cuero y de punto",Servicio,Funcional con Ingresos,249530
158,Masculino,Corrientes,18,Corrientes,Noreste,Industria manufacturera,"Preparacion de frutas, hortalizas y legumbres",Elaboracion de frutas deshidratadas o desecadas; preparacion n.c.p. de frutas,Producto,Funcional con Ingresos,250000
159,Masculino,La Rioja,46,La Rioja,Cuyo,Informacion y comunicaciones,Servicios de grabacion de sonido y edicion de musica,Servicios de grabacion de sonido y edicion de musica,Servicio,Prototipo en Desarrollo,249750
160,Femenino,San Miguel de Tucuman,90,Tucuman,Noroeste,Enseñanza,Servicios de enseñanza n.c.p.,"Enseñanza para adultos, excepto discapacitados",Servicio,Funcional con Ingresos,246017
161,Femenino,Rawson,70,San Juan,Cuyo,Actividades administrativas y servicios de apoyo,Servicios de jardineria y mantenimiento de espacios verdes,Servicios de jardineria y mantenimiento de espacios verdes,Servicio,Funcional con Ingresos,249450
162,Masculino,Ciudad Autonoma de Buenos Aires,2,Ciudad Autonoma de Buenos Aires,Pampeana,"Servicios profesionales, cientificos y tecnicos",Servicios de publicidad,Servicios de comercializacion de tiempo y espacio publicitario,Producto,Funcional con Ingresos,249600
163,Femenino,Basail,22,Chaco,Noreste,Industria manufacturera,"Confeccion de prendas de vestir, excepto prendas de piel","Confeccion de prendas de vestir n.c.p., excepto prendas de piel, cuero y de punto",Producto,Prototipo en Desarrollo,124059
164,Femenino,General Roca,62,Rio Negro,Patagonia,"Agricultura, ganaderia, caza, silvicultura y pesca",Servicios de apoyo agricolas y pecuarios,"Servicios de apoyo agricolas n.c.p (incluye explotacion de sistemas de riego, injertos de plantas, construccion y plantacion de almacigos, alquiler de colmenas, etc.)(no incluye mantenimiento de jardines, parques y cementerios: actividad 813000; planificacion y diseño paisajista: actividad 711009)",Servicio,Concepto / Idea ,248625
165,Femenino,La Rioja,46,La Rioja,Cuyo,Industria manufacturera,Elaboracion de productos alimenticios n.c.p.,"Elaboracion de productos alimenticios n.c.p. (incluye la elaboracion de polvos para preparar postres y gelatinas, levadura, productos para copetin, sopas, sal de mesa, mayonesa, mostaza, etc.)",Producto,Funcional con Ingresos,131390
166,Masculino,Corrientes,18,Corrientes,Noreste,Servicios de alojamiento y servicios de comida,Servicios de alojamiento en <U+0093>camping<U+0094>,"Servicios de alojamiento en ""camping"" (incluye refugios de montaña)",Producto,Prototipo en Desarrollo,248510
167,Femenino,Quilmes,6,Buenos Aires,Pampeana,Industria manufacturera,"Confeccion de prendas de vestir, excepto prendas de piel","Confeccion de prendas de vestir n.c.p., excepto prendas de piel, cuero y de punto",Producto,Funcional con Ingresos,249727
168,Masculino,Resistencia,22,Chaco,Noreste,"Suministro de agua, cloacas, gestion de residuos y recuperacion de materiales y saneamiento publico",Recuperacion de materiales y desechos,Recuperacion de materiales y desechos no metalicos,Producto,Funcional con Ingresos,248500
169,Masculino,General Roca,62,Rio Negro,Patagonia,Industria manufacturera,Fabricacion de articulos de deporte,"Fabricacion de articulos de deporte (incluye equipos de deporte para gimnasia y campos de juegos, equipos de pesca y ""camping"", etc., excepto indumentaria deportiva: 141040)",Servicio,Funcional con Ingresos,190329
170,Masculino,Corrientes,18,Corrientes,Noreste,"Servicios profesionales, cientificos y tecnicos","Actividades profesionales, cientificas y tecnicas n.c.p.","Actividades profesionales, cientificas y tecnicas n.c.p.",Servicio,Prototipo en Desarrollo,223127
171,Masculino,Moron,6,Buenos Aires,Pampeana,Industria manufacturera,Fabricacion de productos quimicos n.c.p.,"Fabricacion de productos quimicos n.c.p. (incluye la produccion de aceites esenciales, tintas excepto para imprenta, etc.)",Servicio,Funcional con Ingresos,246800
172,Masculino,Quilmes,6,Buenos Aires,Pampeana,Servicios de alojamiento y servicios de comida,Servicios de preparacion de comidas para empresas y servicios de comidas n.c.p.,"Servicios de preparacion de comidas para empresas y eventos (incluye el servicio de catering, el suministro de comidas para banquetes, bodas, fiestas y otras celebraciones, comidas para hospital, etc.)",Producto,Funcional sin Ingresos,240680
173,Femenino,Resistencia,22,Chaco,Noreste,Industria manufacturera,"Confeccion de prendas de vestir, excepto prendas de piel","Confeccion de prendas de vestir n.c.p., excepto prendas de piel, cuero y de punto",Producto,Concepto / Idea ,180481
174,Masculino,La Plata,6,Buenos Aires,Pampeana,Industria manufacturera,Industrias basicas de hierro y acero,Fabricacion en industrias basicas de productos de hierro y acero n.c.p. (incluye la produccion de hojalata),Producto,Escalabilidad,184300
175,Femenino,Resistencia,22,Chaco,Noreste,Industria manufacturera,Elaboracion de productos alimenticios n.c.p.,"Elaboracion industrial de productos de panaderia, excepto galletitas y bizcochos (incluye la elaboracion de productos de panaderia frescos, congelados y secos)",Producto,Funcional con Ingresos,247350
